"SampleName","region","batch","post_idbatch","AggGiven70min","AggRec70min","mean_con_ng_ul","period","pre_idbatch","pre_idbatchcage","group","time","Postds","Postrank","Preds","Prerank","condition","wt_d4","wt_d8","wt_12"
"E6.PFCB11.2.3.trim.sam.counts","PFC",11,"2-3Batch11",0,48,245.214919056076,"Post","3Batch1","3Batch11Cage2","reorganized","1 hr",-3.01704260651629,4,-3.61666666666667,4,"same",38.1,36.9,36.8
"E7.AMYB8.4.4.trim.sam.counts","AMY",8,"4-4Batch8",77,40,357.720202284411,"Post","4Batch8","4Batch8Cage4","reorganized","1 hr",-2.49473684210526,3,3.84602143372758,1,"descenders",40.7,40.4,39.9
"E7.PFCB10.3.1.trim.sam.counts","PFC",10,"3-1Batch10",0,27,174.393231877599,"Post","1Batch1","1Batch10Cage3","reorganized","1 hr",-0.784722222222222,3,-2.25,3,"same",42.6,42.5,41.7
"E8.AMYB13.5.2.trim.sam.counts","AMY",13,"5-2Batch13",0,17,63.9462250013509,"Post","2Batch1","2Batch13Cage5","control","1 hr",-1.2,3,-1.5,3,"control",38,37.6,36.8
"E8.PFCB12.1.3.trim.sam.counts","PFC",12,"1-3Batch12",59,60,168.196115507627,"Post","3Batch1","3Batch12Cage1","reorganized","1 hr",3.04807692307692,1,4.86666666666667,1,"same",38.8,39.4,39.8
"F1.AMYB14.2.2.trim.sam.counts","AMY",14,"2-2Batch14",0,56,142.865668118802,"Post","2Batch1","2Batch14Cage2","reorganized","1 hr",-4.04761904761905,4,-5.35164835164835,4,"same",35.5,35.2,40.8
"F1.PFCB13.1.4.trim.sam.counts","PFC",13,"1-4Batch13",51,60,149.443645142217,"Post","4Batch1","4Batch13Cage1","reorganized","1 hr",-1.55,4,3.9375,1,"descenders",38.7,36.6,37.9
"F2.AMYB8.1.1.trim.sam.counts","AMY",8,"1-1Batch8",57,0,63.2210872671335,"Post","1Batch8","1Batch8Cage1","reorganized","1 hr",4.45833333333333,1,-2.15151515151515,3,"ascenders",41.5,43.5,43.9
"F2.PFCB8.3.3.trim.sam.counts","PFC",8,"3-3Batch8",58,59,427.209394635226,"Post","3Batch8","3Batch8Cage3","reorganized","1 hr",-0.666666666666667,3,-2.12222222222222,3,"same",40.8,39.5,40.9
"F3.AMYB12.4.2.trim.sam.counts","AMY",12,"4-2Batch12",68,0,139.062318448956,"Post","2Batch1","2Batch12Cage4","reorganized","1 hr",2,1,-2.9517094017094,4,"ascenders",37.8,38.1,33.8
"F3.PFCB13.4.3.trim.sam.counts","PFC",13,"4-3Batch13",0,61,391.078945481923,"Post","3Batch1","3Batch13Cage4","reorganized","1 hr",-0.466666666666667,3,5.52207977207977,1,"descenders",38.8,38.2,38.8
"F4.AMYB9.4.1.trim.sam.counts","AMY",9,"4-1Batch9",0,45,211.12109488497,"Post","1Batch9","1Batch9Cage4","reorganized","1 hr",-4.56043956043956,4,-3.26190476190476,4,"same",41.3,40.6,40.4
"F4.PFCB9.4.1.trim.sam.counts","PFC",9,"4-1Batch9",0,45,211.12109488497,"Post","1Batch9","1Batch9Cage4","reorganized","1 hr",-4.56043956043956,4,-3.26190476190476,4,"same",41.3,40.6,40.4
"F5.AMYB14.3.4.trim.sam.counts","AMY",14,"3-4Batch14",66,0,199.823866935203,"Post","4Batch1","4Batch14Cage3","control","1 hr",3.45,1,4.7933352402746,1,"control",40,38.7,35.8
"F5.PFCB12.1.2.trim.sam.counts","PFC",12,"1-2Batch12",0,32,120.342538833224,"Post","2Batch1","2Batch12Cage1","reorganized","1 hr",-2,4,-4,4,"same",35.4,35,36.7
"F6.AMYB8.3.4.trim.sam.counts","AMY",8,"3-4Batch8",66,0,194.110094710067,"Post","4Batch8","4Batch8Cage3","reorganized","1 hr",5.54625199362042,1,5.86919191919192,1,"same",38.4,39,37.6
"F6.PFCB9.3.1.trim.sam.counts","PFC",9,"3-1Batch9",77,27,311.198653061814,"Post","1Batch9","1Batch9Cage3","reorganized","1 hr",4.44615384615385,1,-3.95833333333333,4,"ascenders",42.5,40.4,40.3
"F7.AMYB12.3.1.trim.sam.counts","AMY",12,"3-1Batch12",0,27,76.7234682503427,"Post","1Batch1","1Batch12Cage3","control","1 hr",-1.91666666666667,4,-2.82142857142857,4,"control",38.3,35.8,38.8
"F7.PFCB13.3.4.trim.sam.counts","PFC",13,"3-4Batch13",66,30,359.454229288908,"Post","4Batch1","4Batch13Cage3","reorganized","1 hr",2.1,1,4.08333333333333,1,"same",34.8,35.1,35
"F8.AMYB14.4.2.trim.sam.counts","AMY",14,"4-2Batch14",0,32,149.906839683942,"Post","2Batch1","2Batch14Cage4","reorganized","1 hr",-1.12380952380952,4,5.82678271907158,1,"descenders",42.7,41.2,40.4
"F8.PFCB14.6.4.trim.sam.counts","PFC",14,"6-4Batch14",0,2,360.241905196482,"Post","4Batch1","4Batch14Cage6","reorganized","1 hr",-0.790476190476191,3,4.60138888888889,1,"descenders",38.9,37.6,36.6
"G1.AMYB10.5.3.trim.sam.counts","AMY",10,"5-3Batch10",15,43,413.059060773447,"Post","3Batch1","3Batch10Cage5","reorganized","1 hr",-2.96296296296296,4,5.76342592592593,1,"descenders",42.9,43.3,42.3
"G1.PFCB11.2.2.trim.sam.counts","PFC",11,"2-2Batch11",0,56,481.822519585533,"Post","2Batch1","2Batch11Cage2","reorganized","1 hr",-0.6875,3,5.15238095238095,1,"descenders",43.7,42,42.8
"G2.AMYB10.3.1.trim.sam.counts","AMY",10,"3-1Batch10",0,27,174.393231877599,"Post","1Batch1","1Batch10Cage3","reorganized","1 hr",-0.784722222222222,3,-2.25,3,"same",42.6,42.5,41.7
"G2.PFCB11.5.3.trim.sam.counts","PFC",11,"5-3Batch11",0,43,81.7995678274298,"Post","3Batch1","3Batch11Cage5","control","1 hr",-1.80555555555556,3,-4.66666666666667,4,"control",33.2,33.5,34.8
"G3.AMYB10.3.3.trim.sam.counts","AMY",10,"3-3Batch10",58,59,503.232724218499,"Post","3Batch1","3Batch10Cage3","reorganized","1 hr",5.34245014245014,1,4.9508547008547,1,"same",39.7,39.8,38.8
"G3.PFCB11.1.3.trim.sam.counts","PFC",11,"1-3Batch11",0,60,453.405341935043,"Post","3Batch1","3Batch11Cage1","reorganized","1 hr",-1.875,4,5.76653185035389,1,"descenders",38.8,37.1,36.8
"G4.AMYB11.5.3.trim.sam.counts","AMY",11,"5-3Batch11",0,43,81.7995678274298,"Post","3Batch1","3Batch11Cage5","control","1 hr",-1.80555555555556,3,-4.66666666666667,4,"control",33.2,33.5,34.8
"G4.PFCB11.5.4.trim.sam.counts","PFC",11,"5-4Batch11",0,41,466.234204248619,"Post","4Batch1","4Batch11Cage5","control","1 hr",-2.15277777777778,4,-2.70744680851064,3,"control",35,33.5,35.5
"G5.AMYB13.2.3.trim.sam.counts","AMY",13,"2-3Batch13",0,48,139.429671340338,"Post","3Batch1","3Batch13Cage2","reorganized","1 hr",-0.760683760683761,3,-2.41666666666667,3,"same",38.1,35.4,38.5
"G5.PFCB13.1.2.trim.sam.counts","PFC",13,"1-2Batch13",62,0,82.5545162711961,"Post","2Batch1","2Batch13Cage1","reorganized","1 hr",2.75,1,-2.94444444444444,4,"ascenders",35.5,38.5,36.7
"G6.AMYB13.5.3.trim.sam.counts","AMY",13,"5-3Batch13",15,0,94.3454232000456,"Post","3Batch1","3Batch13Cage5","control","1 hr",3.28333333333333,1,5.01428571428571,1,"control",38.3,39.1,38.6
"G6.PFCB13.2.2.trim.sam.counts","PFC",13,"2-2Batch13",0,56,167.118260548578,"Post","2Batch1","2Batch13Cage2","reorganized","1 hr",-2.08333333333333,4,-4.01666666666667,4,"same",36,37.7,34.8
"G7.AMYB10.5.2.trim.sam.counts","AMY",10,"5-2Batch10",36,0,69.865464480656,"Post","2Batch1","2Batch10Cage5","reorganized","1 hr",3.47916666666667,1,-1.59259259259259,3,"ascenders",40.5,40.1,40.8
"G7.PFCB11.5.2.trim.sam.counts","PFC",11,"5-2Batch11",36,0,112.56600060094,"Post","2Batch1","2Batch11Cage5","control","1 hr",3.79166666666667,1,5.66195131301514,1,"control",32.8,31.8,31.8
"G8.AMYB9.2.2.trim.sam.counts","AMY",9,"2-2Batch9",8,0,112.407257272448,"Post","2Batch9","2Batch9Cage2","control","1 hr",3.08333333333333,1,3.97069597069597,1,"control",41.3,42.3,42.9
"G8.PFCB14.3.4.trim.sam.counts","PFC",14,"3-4Batch14",66,0,199.823866935203,"Post","4Batch1","4Batch14Cage3","control","1 hr",3.45,1,4.7933352402746,1,"control",40,38.7,35.8
"H1.AMYB8.2.2.trim.sam.counts","AMY",8,"2-2Batch8",0,56,329.876616791225,"Post","2Batch8","2Batch8Cage2","reorganized","1 hr",-1.01436781609195,4,-4.59464285714286,4,"same",34.4,34.2,34.2
