Timestamp,Cage ,OG Cage Animal 1,Animal 1,Animal 1- Behavior,OG Cage Animal 2,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
11/14/2019 11:28:27,Cage 2,Cage 4,2,"Lunge, Bite/Fight",Cage 3,1,"Subordinate posture, Freeze/immobility",,,Yes
11/14/2019 11:30:13,Cage 5,Cage 1,4,"Lunge, Bite/Fight",Cage 1,2,Freeze/immobility,,,
11/14/2019 11:31:48,Cage 4,Cage 5,3,Mount,Cage 3,2,Freeze/immobility,,,
11/14/2019 11:32:38,Cage 1,Cage 3,4,Bite/Fight,Cage 5,4,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:32:52,Cage 1,Cage 3,4,"Lunge, Bite/Fight",Cage 4,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:33:47,Cage 3,Cage 5,2,"Bite/Fight, Mount",Cage 4,3,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:34:07,Cage 3,Cage 5,2,Bite/Fight,Cage 4,3,"Flee, Subordinate posture",,,
11/14/2019 11:35:06,Cage 4,Cage 5,3,"Lunge, Bite/Fight",Cage 3,2,Freeze/immobility,,,Yes
11/14/2019 11:35:36,Cage 5,Cage 1,4,Bite/Fight,Cage 1,3,Freeze/immobility,,,
11/14/2019 11:36:33,Cage 2,Cage 5,1,"Lunge, Sniff",Cage 2,3,Subordinate posture,,,
11/14/2019 11:37:10,Cage 5,Cage 1,4,"Lunge, Bite/Fight",Cage 1,1,Freeze/immobility,,,
11/14/2019 11:38:37,Cage 5,Cage 1,4,"Bite/Fight, Chase",Cage 1,2,"Flee, Freeze/immobility",,,
11/14/2019 11:38:54,Cage 5,Cage 1,2,Bite/Fight,Cage 1,1,Freeze/immobility,,,
11/14/2019 11:40:01,Cage 2,Cage 4,2,"Lunge, Bite/Fight",Cage 5,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:40:13,Cage 2,Cage 4,2,Bite/Fight,Cage 3,1,Freeze/immobility,,,
11/14/2019 11:40:43,Cage 4,Cage 5,3,"Lunge, Sniff",Cage 4,4,Freeze/immobility,,,
11/14/2019 11:42:51,Cage 1,Cage 3,4,Bite/Fight,Cage 2,1,"Subordinate posture, Freeze/immobility",,,
11/14/2019 11:43:06,Cage 4,Cage 5,3,Bite/Fight,Cage 4,4,Subordinate posture,,,
11/14/2019 11:43:58,Cage 5,Cage 1,4,"Bite/Fight, Chase",Cage 1,2,"Flee, Freeze/immobility",,,
11/14/2019 11:45:27,Cage 4,Cage 5,3,Bite/Fight,Cage 2,2,Freeze/immobility,,,
