Well_ID,Name,Well,Dil,ABS_450,CONC,Count,Mean,Std_dev,CV,plate 
SPL26,b3 2-3,E9,,0.399,519.4686719,2,513.2063194,8.856303888,1.220240729,2
,,E10,,0.403,506.9439669,,,,,2
SPL27,b3 2-1 pre,F9,,0.26,1525.898161,2,1525.898161,0,0,2
,,F10,,0.26,1525.898161,,,,,2
SPL28,b3 2-1,G9,,0.378,592.550747,2,616.6668833,34.10536712,3.910723442,2
,,G10,,0.366,640.7830197,,,,,2
SPL29,b14 1-1 pre,H9,,0.379,588.7623221,2,630.1342822,58.50878701,6.565578357,2
,,H10,,0.359,671.5062422,,,,,2
SPL30,b14 1-1,A11,,0.375,604.1206927,2,647.0673661,60.73576799,6.637125539,2
,,A12,,0.355,690.0140395,,,,,2
SPL31,b14 2-2 pre,B11,,0.369,628.2235081,2,593.9222327,48.50932889,5.775381611,2
,,B12,,0.387,559.6209573,,,,,2
SPL32,b14 2-2,C11,,0.265,1447.742156,2,1495.059274,66.91650923,3.164,2
,,C12,,0.259,1542.376391,,,,,2
SPL33,b13 3-4 pre,D11,,0.528,251.2904887,2,277.4624698,37.01277059,9.432620237,2
,,D12,,0.493,303.6344509,,,,,2
SPL34,b13 3-4,E11,,0.188,4771.695178,2,4834.819288,89.2709726,1.305614674,2
,,E12,,0.187,4897.943398,,,,,2
SPL35,b13 1-4 pre,F11,,0.431,429.4201645,2,462.1178632,46.24152891,7.075618857,2
,,F12,,0.407,494.8155618,,,,,2
SPL36,b13 1-4,G11,,0.264,1462.832809,0,1574.283637,157.6152715,7.079462984,2
,,G12,,0.251,1685.734464,,,,,2
STD1,,C1,5000,0.164,>5249.023,1,4771.695178,?????,?????,2
