"","symbol","dsub_logFC","dsub_pv","time","dd_logFC","dd_pv"
"92","Acy3",0.785859433256078,0.007,70,0.683729054288176,0.0218
"93","Ucp2",0.683103235146896,0.007,70,0.538565727082018,0.034
"94","Aqp4",0.739483368218697,0.0072,70,0.620798697159923,0.0164
"95","Slc30a2",0.545319965202475,0.0084,70,0.490972933099705,0.0248
"96","Cdc25c",0.542166632220642,0.0086,70,0.502675181590709,0.0176
"97","Tmem229a",0.256955174599711,0.0088,70,0.20916765263254,0.033
"98","Glra2",0.708702343445839,0.0096,70,0.521870180201481,0.0462
"99","Lrrn1",0.623983901002928,0.0096,70,0.500686552179086,0.0392
"100","Stx19",-0.403102679161517,0.0102,70,-0.469907733634137,0.0048
"101","Cyp7b1",0.525032829656624,0.0104,70,0.437096625987603,0.0396
"102","Rps27l",0.312085300564379,0.0106,70,0.302641190442755,0.0168
"103","Xcr1",-0.528290560361917,0.0106,70,NA,NA
"104","Med14",0.230070525302066,0.0108,70,0.23231842468704,0.0098
"105","Ccl6",1.1256028761572,0.011,70,1.38553261061619,0.0076
"106","Plaa",0.213382207500152,0.011,70,0.247309838332837,0.0066
"107","Inpp4b",0.561924832130782,0.0118,70,0.510517247405468,0.026
"108","Ltbr",0.921807038565753,0.012,70,0.79690075986176,0.0408
"109","Casc1",0.500896786198343,0.0122,70,0.443562014265448,0.0308
"110","Pex10",0.34360803633959,0.0124,70,0.290043446073746,0.0482
"111","Mup5",2.1297313797694,0.0124,70,1.63678450734319,0.0476
"112","Pcdhb20",0.503331782305668,0.0126,70,0.598141146144847,0.0078
"113","Pilra",0.499016963892833,0.0126,70,0.551283419557713,0.0176
"114","Tmem117",0.359844494341808,0.0128,70,0.371237976971242,0.018
"115","Dgkb",0.427626918978179,0.013,70,0.382097938310911,0.029
"116","Slc7a4",0.274623679520101,0.0132,70,0.263765463973614,0.0182
"117","Errfi1",0.46395545258211,0.0132,70,0.399420436862272,0.0344
"118","Ccdc80",0.462762861031173,0.0134,70,0.575969019551779,0.006
