"symbol","as_logFC","as_pv","time","ds_logFC","ds_pv","regulated","condition"
"Kcns3",-0.714927482854987,0.0208,70,-0.555642464642058,0.0478,"down","TRN vs SUB"
"Syt3",0.348440869277011,0.021,70,0.322574869515043,0.034,"up","TRN vs SUB"
"Eps8",0.232997000890734,0.0212,70,0.412876744638138,4e-04,"up","TRN vs SUB"
"Dpy19l3",-0.388835929993688,0.022,70,-0.382809893807655,0.0272,"down","TRN vs SUB"
"Drap1",0.407370861290315,0.0224,70,0.37621725145072,0.034,"up","TRN vs SUB"
"Slc25a33",0.252848487213623,0.0224,70,0.249353916918897,0.0262,"up","TRN vs SUB"
"Olfr1487",-0.369816751844982,0.0224,70,-0.513838983933538,0.0024,"down","TRN vs SUB"
"St8sia2",-0.666037325913801,0.0226,70,-1.28423322339432,0,"down","TRN vs SUB"
"S100a16",0.381915813272702,0.0226,70,0.521564932531815,0.0022,"up","TRN vs SUB"
"Abhd3",0.432895943143526,0.0228,70,0.42671448314676,0.0236,"up","TRN vs SUB"
"Pcca",0.251822675517231,0.0228,70,0.276191408809166,0.0122,"up","TRN vs SUB"
"Olfr161",-0.379472768370576,0.0234,70,-0.310330053139761,0.0462,"down","TRN vs SUB"
"Dnajc21",-0.328293892569419,0.0236,70,-0.337442438330454,0.018,"down","TRN vs SUB"
"Ndufa8",0.240516275493373,0.0238,70,0.233502872547224,0.0212,"up","TRN vs SUB"
"Btnl10",-0.344530712031215,0.0242,70,-0.408529838399696,0.0058,"down","TRN vs SUB"
"Mpeg1",-1.20704785122954,0.0242,70,-1.12260985065769,0.0256,"down","TRN vs SUB"
"Rps6ka2",-0.348168406579241,0.0248,70,-0.475723155928516,0.0034,"down","TRN vs SUB"
"Col19a1",-0.296793922608472,0.0248,70,-0.394844221881571,0.0036,"down","TRN vs SUB"
"Trpv2",-0.261699587310487,0.0252,70,-0.318346012430632,0.0094,"down","TRN vs SUB"
"Arhgap36",1.56548740793158,0.0256,70,2.28877561650498,0.0012,"up","TRN vs SUB"
"Lmo3",0.582887585554126,0.0262,70,1.17524039513463,4e-04,"up","TRN vs SUB"
"Cdc42ep3",-0.295983384414212,0.0262,70,-0.459205087516069,0.0016,"down","TRN vs SUB"
"Rars2",0.310602233745687,0.027,70,0.375851809157241,0.0068,"up","TRN vs SUB"
"Ugt8a",0.562166992451054,0.0272,70,0.97317857676908,4e-04,"up","TRN vs SUB"
"Slc7a14",-0.213437582179989,0.0272,70,-0.222979103327531,0.0234,"down","TRN vs SUB"
"Hrh2",-0.648126505511812,0.0276,70,-0.701869157633961,0.0164,"down","TRN vs SUB"
"Shf",-0.363229554606324,0.0278,70,-0.334768877141899,0.0402,"down","TRN vs SUB"
"Rpp21",0.295621557273823,0.028,70,0.443203561667817,8e-04,"up","TRN vs SUB"
