"","symbol","as_logFC","as_pv","time","adom_logFC","adom_pv"
"7446","A530064D06Rik",-0.210489120760952,0.2992,70,-0.250670644739207,0.2442
"7447","V1ra8",-0.272954025990671,0.2996,70,-0.284322686389893,0.2876
"7448","Gm13306",0.345138573333946,0.2998,70,0.322990308652324,0.3376
"7449","Hes5",0.281765860651301,0.303,70,0.339297059825772,0.2382
"7450","Gca",0.215880358440738,0.305,70,0.252031394116773,0.245
"7451","Gjc2",0.376514673225976,0.308,70,0.318429138930535,0.406
"7452","Olfr1321",-0.394515292598859,0.3082,70,-0.403625186970683,0.308
"7453","Nostrin",-0.266243452583333,0.3088,70,-0.584755740766706,0.0268
"7454","Il4ra",-0.566188873007677,0.3098,70,-0.508557813498274,0.3902
"7455","Optc",-0.25242972493737,0.3102,70,-0.265895007837812,0.2954
"7456","Vmn1r228",-0.284292034211727,0.3102,70,-0.245467889481881,0.419
"7457","Olfr1167",-0.306619695692381,0.3126,70,-0.717817894586219,0.0204
"7458","Dsg2",-0.254761596326577,0.3142,70,-0.268625702611571,0.3006
"7459","Pcdhgb4",-0.313434339653364,0.315,70,-0.217252764602506,0.4998
"7460","Bend7",-0.370031046682465,0.3152,70,-0.320175848217799,0.407
"7461","Chtf18",-0.255058190195497,0.3158,70,-0.343735722192907,0.1862
"7462","Filip1",0.409170328536934,0.3174,70,0.244430863358311,0.5616
"7463","Aph1a",0.208551444172009,0.318,70,0.309581756518495,0.177
"7464","Rab37",-0.249257039069989,0.3192,70,-0.41267659932985,0.1142
"7465","Tmem255a",-0.213532304886044,0.3196,70,-0.391350007165998,0.0686
"7466","Rax",-0.214650526544589,0.3208,70,-0.264226208320967,0.2368
"7467","Pheta1",-0.21745227226761,0.3212,70,-0.22687735716095,0.327
"7468","Olfr420",-0.304042950523652,0.3212,70,-0.317220267320813,0.3266
"7469","Trpc5",0.264183232362272,0.3222,70,0.23938632870683,0.3846
"7470","Gp6",-0.328556558704026,0.3228,70,-0.255612391088487,0.46
"7471","Top2a",-0.255587133227686,0.3234,70,-0.243090148987842,0.3884
"7472","Vmn1r1",-0.252245097908058,0.324,70,-0.390241182442979,0.1338
"7473","Masp2",0.519166012342338,0.3244,70,0.220350936544569,0.6686
"7474","1190007I07Rik",-0.247890996645448,0.3258,70,-0.439722881412337,0.091
"7475","Mybl2",-0.26528174879852,0.327,70,-0.438628173630259,0.1188
"7476","Slc18a1",-0.323628217383775,0.327,70,-0.216084136028197,0.5468
"7477","Aebp1",-0.550583753659983,0.3274,70,-0.581034796231618,0.2984
"7478","Siah3",-0.262848102426665,0.328,70,-0.798666758082118,0.0038
"7479","Nsun7",-0.234035812385541,0.3288,70,-0.411374260893337,0.0866
"7480","Gm1604b",-0.45182370713976,0.33,70,-0.293536988297297,0.5602
"7481","Fam169b",-0.221683653257191,0.3312,70,-0.219968777636878,0.3486
"7482","Ccdc134",-0.218098323521505,0.3314,70,-0.201237849314829,0.3924
"7483","I830077J02Rik",-0.287173292333552,0.3318,70,-0.30905783147163,0.321
"7484","Ccne1",0.201811866203622,0.332,70,0.311887914696587,0.173
"7485","Ccdc13",0.276520608003741,0.3322,70,0.427089282424161,0.1652
"7486","Adamts16",-0.404138724494442,0.3334,70,-0.42638173291356,0.3282
"7487","Ttc39a",0.236844250277623,0.3342,70,0.275170211505447,0.2878
"7488","Crybb3",-0.237236818709189,0.3348,70,-0.362079587598609,0.1572
"7489","Slc16a14",0.321319026330499,0.3366,70,0.229594166978738,0.508
"7490","Oxt",0.610640691872099,0.3366,70,0.50444917978118,0.443
"7491","Cmbl",-0.276557963502997,0.337,70,-0.40369612201627,0.1582
"7492","Adgrd1",0.279859289401534,0.3384,70,0.339200655135527,0.271
"7493","Dusp5",-0.298153273829571,0.3392,70,-0.393883342776299,0.2232
"7494","Vamp8",0.223403364528185,0.3396,70,0.251049891800991,0.3264
"7495","Ooep",-0.367242195847449,0.3426,70,-0.267128927446562,0.516
"7496","Itgal",-0.258236329680809,0.3444,70,-0.229328165828485,0.4184
"7497","Cnr2",-0.272921773775508,0.3458,70,-0.334478946718279,0.2612
"7498","Cyp7b1",-0.217637521584849,0.3476,70,-0.30557372525387,0.2
"7499","Hba-a2",-0.65103882283759,0.3498,70,-0.277210633720604,0.7198
"7500","Olfr71",-0.286652812252636,0.3506,70,-0.40349730384308,0.1964
"7501","Olfr263",-0.49430233362853,0.353,70,-1.00584147388959,0.0572
"7502","Spa17",-0.20740037600969,0.3534,70,-0.244462050927263,0.296
"7503","Vps51",0.207278398552286,0.3534,70,0.241917680374979,0.3002
"7504","S100a9",-1.32364198389943,0.3574,70,-0.421135924900807,0.7996
"7505","Prcp",0.207302485113091,0.3586,70,0.491623304135286,0.0446
"7506","Olfr1122",-0.25767058895623,0.3618,70,-0.494268597773466,0.083
"7507","Xrcc2",-0.282008626489396,0.366,70,-0.501026965737173,0.1088
"7508","Naga",0.200323920979109,0.3668,70,0.24061339614457,0.31
"7509","Bnc2",-0.200528877286753,0.3668,70,-0.221639508661468,0.3274
"7510","Ms4a15",-0.754640816328978,0.3668,70,-0.766503143124282,0.3878
"7511","Glipr2",-0.284186463823914,0.3676,70,-0.410615592648208,0.1872
"7512","Urb1",-0.271507507840051,0.368,70,-0.426927456368244,0.1662
"7513","Ajuba",-0.438703208996511,0.3682,70,-0.433096932174383,0.3922
"7514","Fcgbp",-0.23886258730289,0.3682,70,-0.425260495788449,0.1194
"7515","Tchh",0.238598521002428,0.3724,70,0.244206060540264,0.375
"7516","Gtf3a",0.221475216459281,0.3732,70,0.330411784128059,0.2234
"7517","5430402E10Rik",-0.998297113963452,0.3732,70,-0.442815630295949,0.7036
"7518","Pear1",-0.368765683595836,0.3738,70,-0.427631258207927,0.3192
"7519","Slc2a5",0.23284772933628,0.3752,70,0.202562415230922,0.4532
"7520","Ascl1",-0.251721622742939,0.3756,70,-0.302169467508311,0.2928
"7521","Pappa2",-0.283741750488559,0.3774,70,-0.560658134208301,0.0798
"7522","Clec2h",-0.291751369537769,0.3778,70,-0.281113003909615,0.4096
"7523","Epha6",0.246016507972793,0.3786,70,0.270716031114968,0.35
"7524","Cntd1",-0.268928792343405,0.3808,70,-0.282687160222947,0.3922
"7525","Tnfrsf22",-0.241600966992632,0.3834,70,-0.321798348218835,0.2514
"7526","Col8a1",0.370245183252786,0.3842,70,0.272723670694079,0.5376
"7527","Socs3",0.513839442448262,0.3864,70,0.524931189676329,0.398
"7528","Gm20826",-0.220477705952154,0.3864,70,-0.205884151161674,0.4564
"7529","Pycr1",-0.223454377677104,0.392,70,-0.347305605780371,0.1808
"7530","Lrrc47",0.23145709508685,0.3922,70,0.292044580906472,0.2888
"7531","Cnbd2",-0.263970894370247,0.3932,70,-0.392668615802035,0.2106
"7532","Slc25a24",0.274364448300869,0.396,70,0.471690859467685,0.181
"7533","Vmn1r77",-0.227245604526859,0.3978,70,-0.336141331100416,0.2328
"7534","Cyp11a1",-0.334416895505404,0.398,70,-0.408658570579223,0.3162
"7535","Sp9",-0.25810461048306,0.4032,70,-0.530826749613799,0.0854
"7536","Gm21679",0.502934346778619,0.4034,70,0.962430461420385,0.1698
"7537","Klf2",-0.221573796498658,0.4084,70,-0.60675974534871,0.0214
"7538","Disp1",0.202002592283916,0.4102,70,0.261290656011259,0.3126
"7539","Hdhd3",0.236704766779187,0.4128,70,0.348523092232944,0.2366
"7540","Aknad1",-0.237253016089656,0.4132,70,-0.458021683881989,0.1188
"7541","Relt",-0.230162324245937,0.4138,70,-0.235642914463191,0.4008
"7542","Olfr983",-0.403288205334488,0.4144,70,-0.32250476205635,0.5162
"7543","Serinc2",-0.443724955558676,0.421,70,-0.760362087882587,0.1666
"7544","Hspa12b",-0.229818479093533,0.4242,70,-0.370730937857626,0.219
