"","symbol","dsub_logFC","dsub_pv","time","dd_logFC","dd_pv"
"68","Tagln2",0.647820555751716,0.0038,70,0.435306598757841,0.0486
"69","Endod1",0.277950745494596,0.0038,70,0.254284483017788,0.0102
"70","Ezr",0.491726831882422,0.0038,70,0.456769158227664,0.0058
"71","Tmem147",0.301953512256425,0.004,70,0.217757161933068,0.04
"72","Bckdhb",0.361482018170131,0.004,70,0.354280327318273,0.0062
"73","Crtac1",0.669590174700575,0.004,70,0.639152253862866,0.0082
"74","Aqp4",0.739956750998627,0.0044,70,0.62514105721336,0.0154
"75","Lmo7",0.692014644773543,0.0044,70,0.516658736840839,0.0234
"76","Fam3c",0.473070739702282,0.0046,70,0.323171761038548,0.0414
"77","Chka",-0.271748202920581,0.0048,70,-0.272568383299251,0.0064
"78","Fbxo44",0.29512717761825,0.0048,70,0.21517760763098,0.0472
"79","Arl15",0.669314912458435,0.0048,70,0.642996189365668,0.0086
"80","Rtn4",0.240675343273969,0.0052,70,0.233967308368415,0.0084
"81","Srgn",0.923701717482598,0.0054,70,0.741231403077756,0.0296
"82","Tor2a",0.328006990036616,0.0056,70,0.41756765953158,0.0016
"83","Kmt2a",-0.353995877183362,0.0058,70,-0.33883556488157,0.0062
"84","Atf5",0.730125730481907,0.0058,70,0.682117649306186,0.0132
"85","Rhob",0.325641423508137,0.0058,70,0.276728812424935,0.0162
"86","Fam162a",0.417172050901994,0.0066,70,0.308556186031438,0.0432
"87","Slc15a2",0.376431277643339,0.0066,70,0.374475318961657,0.0076
"88","Itga9",0.427125624205353,0.0066,70,0.341819973576424,0.0282
"89","Cdc25c",0.543844323843648,0.0066,70,0.505299483534372,0.0182
"90","Kbtbd11",0.328286814462524,0.0066,70,0.261657213544966,0.0264
"91","Gnal",0.357663894377242,0.0068,70,0.297083908307241,0.0188
"92","Acy3",0.789219174135016,0.0068,70,0.686608856814178,0.021
"93","Rars2",0.377761630941807,0.0068,70,0.285312828322088,0.0398
"94","Med14",0.231617852151041,0.0072,70,0.23770975855958,0.0082
"95","Ucp2",0.684047559016336,0.0076,70,0.543293926847125,0.0368
"96","Angptl4",0.661479340428729,0.008,70,0.53348915132782,0.0388
"97","Nfkbiz",0.696423303985183,0.0084,70,0.539685179254009,0.049
"98","Tmem229a",0.258603555085841,0.0084,70,0.214746940087238,0.0314
"99","Filip1",1.07698675574101,0.0086,70,0.914102845733039,0.0232
"100","Casc1",0.503225644763918,0.0088,70,0.451799344990987,0.0276
"101","Mageh1",0.431240004644187,0.0088,70,0.327076459479533,0.0442
"102","Inpp4b",0.564503922106126,0.0096,70,0.515631263516005,0.023
"103","Lrrn1",0.625681357167039,0.0098,70,0.504646117827479,0.0412
"104","Xcr1",-0.525355915779535,0.0098,70,NA,NA
"105","Ccdc80",0.463425726684369,0.01,70,0.578715992037322,0.0032
"106","Rps27l",0.313227279158738,0.0102,70,0.307913579652104,0.014
"107","Glra2",0.710471465969427,0.0106,70,0.528750944335182,0.047
"108","Mup5",2.13559342232887,0.011,70,1.65172540938194,0.0434
"109","Fam107b",0.370050739336176,0.0112,70,0.383679492988515,0.0196
"110","Plaa",0.215018691501673,0.0112,70,0.2529620871203,0.0058
"111","Spp1",1.95298909171849,0.0112,70,1.95693564152997,0.0286
"112","Cyp7b1",0.527758153000844,0.0116,70,0.445237892037353,0.038
"113","Arsg",0.617863690055695,0.012,70,0.565074685304205,0.0328
"114","Stx19",-0.400433083097194,0.012,70,-0.464235834501107,0.006
"115","Tmem117",0.361044460768366,0.012,70,0.375451964477301,0.019
"116","Slc7a4",0.276052054702359,0.0122,70,0.268990691176251,0.016
"117","Cndp1",-0.359829212502926,0.0124,70,-0.40522297970129,0.006
"118","Ccl6",1.13002344950854,0.013,70,1.38817145810391,0.0082
"119","Pex10",0.345491234511579,0.013,70,0.297016642937034,0.0422
"120","Errfi1",0.4650957295053,0.0142,70,0.402929995492783,0.0376
"121","Alcam",0.56847287001255,0.0144,70,0.584956549323673,0.0118
"122","Igfbp7",0.62271727323516,0.0148,70,0.609076821041991,0.0238
"123","Dgkb",0.428705720554498,0.0158,70,0.387322612836991,0.031
"124","Pcmtd1",0.230911099423823,0.0158,70,0.213535575230116,0.0268
"125","Gcnt2",0.416450946118226,0.016,70,0.367130207854157,0.0376
"126","Praf2",0.259768988565726,0.016,70,0.297728759322566,0.0056
"127","Zkscan5",0.357088486328264,0.0162,70,0.312947670587644,0.0428
"128","Ltbp1",0.52424851651761,0.0168,70,0.446858750918911,0.0466
"129","Thg1l",0.527096384714778,0.017,70,0.482081838834694,0.0352
"130","Leprot",0.333789090387323,0.0172,70,0.366452044429036,0.011
"131","Lyz2",1.07628874992098,0.0172,70,1.04425713186384,0.0292
"132","C5ar1",0.64931981141027,0.0174,70,0.744816963568272,0.0148
"133","Atrnl1",0.214290936812072,0.0176,70,0.234942554792614,0.0136
"134","Kcnip3",0.24592807282009,0.0176,70,0.278615339230964,0.0094
"135","Pcdhb20",0.505469388931442,0.0178,70,0.605388953214456,0.0072
"136","Mrpl36",0.23051002608078,0.018,70,0.246126860533797,0.0202
"137","Runx1",1.00855730556838,0.018,70,0.867687884313236,0.049
"138","Tmsb4x",0.227539641029708,0.0186,70,0.236122186066282,0.015
"139","Mif4gd",0.356889582825648,0.0188,70,0.425906664746906,0.0122
"140","Trps1",0.42706711216646,0.0192,70,0.375497600024679,0.0446
"141","Mas1",0.443099287144242,0.0198,70,0.474426619599617,0.0166
"142","Sting1",0.744170141986932,0.02,70,0.865491672226501,0.0122
"143","Grin3a",0.412467105409871,0.02,70,0.382789457060556,0.0344
"144","Pde6d",0.217076013804408,0.0204,70,0.30605382423117,0.0016
"145","Parp9",0.584394633784509,0.0206,70,0.85880664719775,0.003
"146","Cp",1.00447332799736,0.0216,70,0.921869907684505,0.0404
"147","Ptk2b",0.34929610873203,0.022,70,0.305605361894694,0.0414
"148","Parvg",0.660049520017887,0.0224,70,0.701072491791116,0.0232
"149","Fmnl2",0.237978498310881,0.0224,70,0.236152301410737,0.0332
"150","Doc2b",0.457520684888256,0.0232,70,0.424193942825142,0.0474
"151","Chchd3",0.22965378277189,0.0242,70,0.212093527293646,0.0422
"152","Enpp6",0.437836062197222,0.0244,70,0.483566901356981,0.0248
"153","Ptgs2",0.633401459522903,0.0254,70,0.630467171062872,0.0312
"154","Myl12a",0.34948135083614,0.0258,70,0.318326375572378,0.0494
"155","Pycr2",0.301315453410153,0.0266,70,0.382021439874919,0.0084
"156","Pdcd6",0.25827052533722,0.027,70,0.272005845940525,0.0238
"157","Rbm41",-0.34767955549132,0.0272,70,NA,NA
