"Well","plate","dilution_factor","final_conc_ng_ul","mean_con_ng_ul","batch","period","post_id","precage","pre_id","post_idbatch","pre_idbatch","pre_idbatchcage"
"B9",3,100,39.5432884071136,40.3798463340765,"7","Pre","4-1","Cage4","1","4-1Batch7","1 Batch7","1Batch7Cage4"
"B10",3,100,41.2164042610394,40.3798463340765,"7","Pre","4-1","Cage4","1","4-1Batch7","1 Batch7","1Batch7Cage4"
"C9",3,100,167.756806108147,171.511603300494,"7","Post","4-1","Cage4","1","4-1Batch7","1 Batch7","1Batch7Cage4"
"C10",3,100,175.26640049284,171.511603300494,"7","Post","4-1","Cage4","1","4-1Batch7","1 Batch7","1Batch7Cage4"
"D9",3,100,32.7399056030585,34.8643152334486,"2","Pre","2-1","Cage2","1","2-1Batch2","1 Batch2","1Batch2Cage2"
"D10",3,100,36.9887248638388,34.8643152334486,"2","Pre","2-1","Cage2","1","2-1Batch2","1 Batch2","1Batch2Cage2"
"E9",3,100,88.1062180292464,95.7487417191344,"2","Post","2-1","Cage2","1","2-1Batch2","1 Batch2","1Batch2Cage2"
"E10",3,100,103.391265409022,95.7487417191344,"2","Post","2-1","Cage2","1","2-1Batch2","1 Batch2","1Batch2Cage2"
"F9",3,100,212.474756135436,228.226705192036,"2","Pre","5-1","Cage5","1","5-1Batch2","1 Batch2","1Batch2Cage5"
"F10",3,100,243.978654248636,228.226705192036,"2","Pre","5-1","Cage5","1","5-1Batch2","1 Batch2","1Batch2Cage5"
"G9",3,100,86.3004747782602,86.0058994918857,"2","Post","5-1","Cage5","1","5-1Batch2","1 Batch2","1Batch2Cage5"
"G10",3,100,85.7113242055112,86.0058994918857,"2","Post","5-1","Cage5","1","5-1Batch2","1 Batch2","1Batch2Cage5"
"H9",3,100,66.3547906462627,70.9739912066382,"14","Pre","1-2","Cage1","2","1-2Batch14","2 Batch14","2Batch14Cage1"
"H10",3,100,75.5931917670137,70.9739912066382,"14","Pre","1-2","Cage1","2","1-2Batch14","2 Batch14","2Batch14Cage1"
